Team One,Team Two,Percent
Philadelphia 76ers,Los Angeles Lakers,60
Philadelphia 76ers,Brooklyn Nets,56
Philadelphia 76ers,Phoenix Suns,55
Philadelphia 76ers,Minnesota Timberwolves,55
Philadelphia 76ers,New Orleans Pelicans,55
Philadelphia 76ers,New York Knicks,57
Philadelphia 76ers,Sacramento Kings,59
Philadelphia 76ers,Milwaukee Bucks,61
Philadelphia 76ers,Denver Nuggets,63
Philadelphia 76ers,Orlando Magic,65
Philadelphia 76ers,Utah Jazz,67
Philadelphia 76ers,Washington Wizards,68
Philadelphia 76ers,Houston Rockets,69
Philadelphia 76ers,Chicago Bulls,69
Philadelphia 76ers,Memphis Grizzlies,70
Philadelphia 76ers,Dallas Mavericks,70
Philadelphia 76ers,Portland Trail Blazers,70
Philadelphia 76ers,Detroit Pistons,70
Philadelphia 76ers,Indiana Pacers,70
Philadelphia 76ers,Miami Heat,70
Philadelphia 76ers,Charlotte Hornets,70
Philadelphia 76ers,Boston Celtics,70
Philadelphia 76ers,Atlanta Hawks,70
Philadelphia 76ers,Los Angeles Clippers,70
Philadelphia 76ers,Oklahoma City Thunder,69
Philadelphia 76ers,Toronto Raptors,69
Philadelphia 76ers,Cleveland Cavaliers,69
Philadelphia 76ers,San Antonio Spurs,69
Philadelphia 76ers,Golden State Warriors,69
Los Angeles Lakers,Philadelphia 76ers,83
Los Angeles Lakers,Brooklyn Nets,53
Los Angeles Lakers,Phoenix Suns,47
Los Angeles Lakers,Minnesota Timberwolves,45
Los Angeles Lakers,New Orleans Pelicans,43
Los Angeles Lakers,New York Knicks,42
Los Angeles Lakers,Sacramento Kings,41
Los Angeles Lakers,Milwaukee Bucks,40
Los Angeles Lakers,Denver Nuggets,41
Los Angeles Lakers,Orlando Magic,42
Los Angeles Lakers,Utah Jazz,44
Los Angeles Lakers,Washington Wizards,46
Los Angeles Lakers,Houston Rockets,50
Los Angeles Lakers,Chicago Bulls,53
Los Angeles Lakers,Memphis Grizzlies,56
Los Angeles Lakers,Dallas Mavericks,59
Los Angeles Lakers,Portland Trail Blazers,62
Los Angeles Lakers,Detroit Pistons,64
Los Angeles Lakers,Indiana Pacers,66
Los Angeles Lakers,Miami Heat,67
Los Angeles Lakers,Charlotte Hornets,68
Los Angeles Lakers,Boston Celtics,68
Los Angeles Lakers,Atlanta Hawks,69
Los Angeles Lakers,Los Angeles Clippers,69
Los Angeles Lakers,Oklahoma City Thunder,69
Los Angeles Lakers,Toronto Raptors,69
Los Angeles Lakers,Cleveland Cavaliers,69
Los Angeles Lakers,San Antonio Spurs,69
Los Angeles Lakers,Golden State Warriors,69
Brooklyn Nets,Philadelphia 76ers,85
Brooklyn Nets,Los Angeles Lakers,61
Brooklyn Nets,Phoenix Suns,47
Brooklyn Nets,Minnesota Timberwolves,42
Brooklyn Nets,New Orleans Pelicans,41
Brooklyn Nets,New York Knicks,41
Brooklyn Nets,Sacramento Kings,40
Brooklyn Nets,Milwaukee Bucks,39
Brooklyn Nets,Denver Nuggets,37
Brooklyn Nets,Orlando Magic,36
Brooklyn Nets,Utah Jazz,35
Brooklyn Nets,Washington Wizards,35
Brooklyn Nets,Houston Rockets,35
Brooklyn Nets,Chicago Bulls,35
Brooklyn Nets,Memphis Grizzlies,36
Brooklyn Nets,Dallas Mavericks,37
Brooklyn Nets,Portland Trail Blazers,39
Brooklyn Nets,Detroit Pistons,41
Brooklyn Nets,Indiana Pacers,44
Brooklyn Nets,Miami Heat,47
Brooklyn Nets,Charlotte Hornets,50
Brooklyn Nets,Boston Celtics,54
Brooklyn Nets,Atlanta Hawks,57
Brooklyn Nets,Los Angeles Clippers,60
Brooklyn Nets,Oklahoma City Thunder,63
Brooklyn Nets,Toronto Raptors,64
Brooklyn Nets,Cleveland Cavaliers,66
Brooklyn Nets,San Antonio Spurs,67
Brooklyn Nets,Golden State Warriors,68
Phoenix Suns,Philadelphia 76ers,85
Phoenix Suns,Los Angeles Lakers,58
Phoenix Suns,Brooklyn Nets,53
Phoenix Suns,Minnesota Timberwolves,43
Phoenix Suns,New Orleans Pelicans,38
Phoenix Suns,New York Knicks,38
Phoenix Suns,Sacramento Kings,40
Phoenix Suns,Milwaukee Bucks,41
Phoenix Suns,Denver Nuggets,40
Phoenix Suns,Orlando Magic,38
Phoenix Suns,Utah Jazz,37
Phoenix Suns,Washington Wizards,36
